Pet, Gender, Education, Urbanicity, Children, Employment, Income
1, 0, Bachelor's degree +, Urban, 0, 1, 70185
0, 1, Bachelor's degree +, Suburban, 1, 1, 54150
0, 1, Bachelor's degree +, Suburban, 0, 1, 54215
1, 0, High school, Suburban, 1, 1, 32347
0, 0, Some college, Suburban, 0, 0, 39841
1, 0, Bachelor's degree +, Urban, 0, 1, 70311
1, 0, High school, Urban, 0, 1, 32250
1, 0, Some college, Urban, 0, 1, 39535
0, 1, Some college, Urban, 1, 1, 33418
0, 0, Less than high school, Suburban, 0, 1, 22212
1, 0, Bachelor's degree +, Urban, 0, 1, 70482
1, 0, Some college, Urban, 0, 0, 39860
1, 1, High school, Suburban, 1, 1, 28898
1, 1, Some college, Suburban, 0, 1, 33219
0, 0, Some college, Urban, 0, 0, 39778
1, 0, High school, Suburban, 0, 0, 32307
0, 0, Some college, Urban, 0, 1, 40061
1, 1, Some college, Suburban, 0, 0, 33431
0, 1, Less than high school, Urban, 0, 0, 20794
0, 1, High school, Suburban, 0, 0, 28693
0, 0, Less than high school, Suburban, 1, 0, 22124
0, 1, Less than high school, Suburban, 0, 1, 20797
1, 1, Less than high school, Urban, 0, 1, 20710
0, 1, Bachelor's degree +, Urban, 0, 1, 54257
1, 1, Some college, Rural, 0, 1, 33343
0, 1, High school, Rural, 0, 1, 28768
0, 1, High school, Suburban, 0, 0, 28928
1, 0, Bachelor's degree +, Rural, 0, 1, 70446
1, 1, Bachelor's degree +, Rural, 0, 1, 54400
0, 0, Some college, Suburban, 0, 1, 39648
1, 0, Less than high school, Urban, 0, 1, 22223
0, 0, Bachelor's degree +, Suburban, 1, 0, 70348
1, 0, High school, Urban, 0, 1, 32227
1, 1, Bachelor's degree +, Suburban, 0, 0, 54402
0, 0, High school, Rural, 0, 0, 32277
1, 1, Less than high school, Suburban, 1, 1, 20796
1, 1, Some college, Suburban, 0, 1, 33318
1, 1, Some college, Rural, 0, 1, 33337
1, 0, Less than high school, Urban, 0, 1, 22131
0, 1, Some college, Suburban, 0, 0, 33236
1, 1, Some college, Suburban, 0, 1, 33067
1, 1, High school, Rural, 1, 1, 28911
1, 0, Bachelor's degree +, Rural, 0, 0, 70436
1, 0, Bachelor's degree +, Suburban, 0, 1, 70333
1, 0, Less than high school, Suburban, 0, 1, 22246
0, 1, Bachelor's degree +, Urban, 0, 0, 54611
0, 1, Bachelor's degree +, Urban, 0, 1, 54577
1, 0, Some college, Suburban, 1, 1, 39769
